"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @MariamVeiszadeh: Dear @jacindaardern

Words are truly inadequate to convey our sincere gratitude for how you’ve handled the #Christchur…",FALSE,0,NA,2019-03-19 11:14:27,FALSE,NA,"1107963539602313217",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","nikt50",247,TRUE,FALSE,NA,NA
"2","RT @Dawn_News: <U+0622><U+067E> <U+0645><U+062C><U+06BE><U+06D2> <U+06A9><U+0628><U+06BE><U+06CC> <U+062F><U+06C1><U+0634><U+062A> <U+06AF><U+0631><U+062F> <U+06A9><U+0627> <U+0646><U+0627><U+0645> <U+0644><U+06CC><U+062A><U+06D2> <U+06C1><U+0648><U+0626><U+06D2> <U+0646><U+06C1><U+06CC><U+06BA> <U+0633><U+0646><U+06CC><U+06BA> <U+06AF><U+06D2><U+060C> <U+062C><U+06CC><U+0633><U+06CC><U+0646><U+0688><U+0627> <U+0622><U+0631><U+0688><U+0631><U+0646> 

<U+0645><U+0632><U+06CC><U+062F> <U+067E><U+0691><U+06BE><U+06CC><U+06BA>
https://t.co/exT86btkrB

#NewZealand
#Christ…",FALSE,0,NA,2019-03-19 11:14:20,FALSE,NA,"1107963509806170113",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlmaratkhanPak",4,TRUE,FALSE,NA,NA
"3","RT @StefSimanowitz: An impromptu haka by a small group of #Christchurch schoolchildren in tribute to 2 of their murdered classmates becomes…",FALSE,0,NA,2019-03-19 11:14:17,FALSE,NA,"1107963498229911552",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","officiallyazeem",4088,TRUE,FALSE,NA,NA
"4","RT @laurarichards99: He wanted notoriety. Spot on PM Jacinda Arderne. That’s why a media black out of his name is needed..and this should b…",FALSE,0,NA,2019-03-19 11:14:08,FALSE,NA,"1107963461156380672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ScottPaterno",5,TRUE,FALSE,NA,NA
"5","RT @SAMAATV: <U+06A9><U+0631><U+0627><U+0626><U+0633><U+0679> <U+0686><U+0631><U+0686> <U+0645><U+06CC><U+06BA> <U+062F><U+0648> <U+0645><U+0633><U+0627><U+062C><U+062F> <U+067E><U+0631> <U+0641><U+0627><U+0626><U+0631><U+0646><U+06AF> <U+0645><U+06CC><U+06BA> 9 <U+067E><U+0627><U+06A9><U+0633><U+062A><U+0627><U+0646><U+06CC><U+0648><U+06BA> <U+0633><U+0645><U+06CC><U+062A> 50 <U+0645><U+0633><U+0644><U+0645><U+0627><U+0646><U+0648><U+06BA> <U+06A9><U+06CC> <U+0634><U+06C1><U+0627><U+062F><U+062A> <U+06A9><U+06D2> <U+0628><U+0639><U+062F> <U+0646><U+06CC><U+0648><U+0632><U+06CC> <U+0644><U+06CC><U+0646><U+0688> <U+06A9><U+06CC> <U+067E><U+0627><U+0631><U+0644><U+06CC><U+0645><U+0646><U+0679> <U+06A9><U+06D2> <U+067E><U+06C1><U+0644><U+06D2> <U+0627><U+062C><U+0644><U+0627><U+0633> <U+06A9><U+0627> <U+0622><U+063A>…",FALSE,0,NA,2019-03-19 11:13:56,FALSE,NA,"1107963408664707073",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","abkhan1117",8,TRUE,FALSE,NA,NA
"6","RT @MahilaCongress: ""He is a terrorist. He is a criminal. He is an extremist. But he will, when I speak, be nameless.""

This world needs le…",FALSE,0,NA,2019-03-19 11:13:43,FALSE,NA,"1107963356793561089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aamirkhan78",42,TRUE,FALSE,NA,NA
"7","RT @SAMAATV: <U+06A9><U+0631><U+0627><U+0626><U+0633><U+0679> <U+0686><U+0631><U+0686> <U+0645><U+06CC><U+06BA> <U+062F><U+0648> <U+0645><U+0633><U+0627><U+062C><U+062F> <U+067E><U+0631> <U+0641><U+0627><U+0626><U+0631><U+0646><U+06AF> <U+0645><U+06CC><U+06BA> 9 <U+067E><U+0627><U+06A9><U+0633><U+062A><U+0627><U+0646><U+06CC><U+0648><U+06BA> <U+0633><U+0645><U+06CC><U+062A> 50 <U+0645><U+0633><U+0644><U+0645><U+0627><U+0646><U+0648><U+06BA> <U+06A9><U+06CC> <U+0634><U+06C1><U+0627><U+062F><U+062A> <U+06A9><U+06D2> <U+0628><U+0639><U+062F> <U+0646><U+06CC><U+0648><U+0632><U+06CC> <U+0644><U+06CC><U+0646><U+0688> <U+06A9><U+06CC> <U+067E><U+0627><U+0631><U+0644><U+06CC><U+0645><U+0646><U+0679> <U+06A9><U+06D2> <U+067E><U+06C1><U+0644><U+06D2> <U+0627><U+062C><U+0644><U+0627><U+0633> <U+06A9><U+0627> <U+0622><U+063A>…",FALSE,0,NA,2019-03-19 11:13:38,FALSE,NA,"1107963332819148806",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sofiakamran786",8,TRUE,FALSE,NA,NA
"8","RT @moir_alan: The dog-whistling has been going on for years ..this from 2013 .. #Christchurch 
#ChristchurchTerrorAttack  ... https://t.co…",FALSE,0,NA,2019-03-19 11:13:33,FALSE,NA,"1107963312363298817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeighVaughanV1",19,TRUE,FALSE,NA,NA
"9","RT @MahilaCongress: ""He is a terrorist. He is a criminal. He is an extremist. But he will, when I speak, be nameless.""

This world needs le…",FALSE,0,NA,2019-03-19 11:13:24,FALSE,NA,"1107963275277303808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ArmanSabarwal1",42,TRUE,FALSE,NA,NA
"10","RT @sajidumar: This is just...brilliant! I'm speechless. Thank you Keith Lee for an amazing show of creativity and solidarity.

#Christchur…",FALSE,0,NA,2019-03-19 11:13:23,FALSE,NA,"1107963269682221057",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karimPalestine",7,TRUE,FALSE,NA,NA
"11","RT @eeffinjay: A lot of hate being directed towards #ExMuslims. Criticising Islam <U+2260> condoning violence against Muslims. 

My cousin's a vic…",FALSE,0,NA,2019-03-19 11:13:05,FALSE,NA,"1107963197103968256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Archangel5847",717,TRUE,FALSE,NA,NA
"12","RT @MonaAlamm: Session of #NewZealand Parliament began with Tilawat-e-Quran and PM @jacindaardern began her speech with Assalam-o-Alaikum…",FALSE,0,NA,2019-03-19 11:12:54,FALSE,NA,"1107963150593343488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aahmareen1",46,TRUE,FALSE,NA,NA
"13","RT @StefSimanowitz: An impromptu haka by a small group of #Christchurch schoolchildren in tribute to 2 of their murdered classmates becomes…",FALSE,0,NA,2019-03-19 11:12:35,FALSE,NA,"1107963067965558784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Nuh147",4088,TRUE,FALSE,NA,NA
"14","RT @MariamVeiszadeh: Dear @jacindaardern

Words are truly inadequate to convey our sincere gratitude for how you’ve handled the #Christchur…",FALSE,0,NA,2019-03-19 11:12:22,FALSE,NA,"1107963014135734283",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Angela_NYRabbit",247,TRUE,FALSE,NA,NA
"15","RT @ArifAtozai: Newton fire station in #Sydney today put up words that translate “ To Allah we belong &amp; to him we shall return” in respect…",FALSE,0,NA,2019-03-19 11:12:20,FALSE,NA,"1107963004979724293",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","foto_masters",13,TRUE,FALSE,NA,NA
"16","RT @siasatpk: <U+0648><U+0647> <U+0686><U+0627><U+06C1><U+062A><U+06D2> <U+06C1><U+06CC><U+06BA> <U+06A9><U+06C1> <U+0627><U+0644><U+0644><U+06C1> <U+06A9><U+06D2> <U+0646><U+0648><U+0631> <U+06A9><U+0648> <U+0627><U+067E><U+0646><U+06D2> <U+0645><U+0646><U+06C1> <U+0633><U+06D2> <U+0628><U+062C><U+06BE><U+0627> <U+062F><U+06CC><U+06BA> <U+0627><U+0648><U+0631> <U+0627><U+0644><U+0644><U+06C1> <U+0627><U+067E><U+0646><U+06D2> <U+0646><U+0648><U+0631> <U+06A9><U+0648> <U+06A9><U+0645><U+0627><U+0644> <U+062A><U+06A9> <U+067E><U+06C1><U+0646><U+0686><U+0627><U+0646><U+06D2> <U+0648><U+0627><U+FEFB> <U+06C1><U+06D2> ~ <U+0633><U+0648><U+0631><U+06C1> <U+0627><U+0644><U+0635><U+0641> : <U+0622><U+06CC><U+062A> 8

#NewZeal…",FALSE,0,NA,2019-03-19 11:12:15,FALSE,NA,"1107962984041799680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zeeshan_Boi",65,TRUE,FALSE,NA,NA
"17","RT @RedVest2: vile #BritainFirst #EDL supporter Tom Richardson from #Leicester thinks he is funny sharing an image from #ChristchurchTerror…",FALSE,0,NA,2019-03-19 11:12:11,FALSE,NA,"1107962968753520640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","M_Gatti99",10,TRUE,FALSE,NA,NA
"18","RT @MonaAlamm: Session of #NewZealand Parliament began with Tilawat-e-Quran and PM @jacindaardern began her speech with Assalam-o-Alaikum…",FALSE,0,NA,2019-03-19 11:12:06,FALSE,NA,"1107962948008509447",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","AbdullaTunio",46,TRUE,FALSE,NA,NA
"19","RT @ArifAtozai: Newton fire station in #Sydney today put up words that translate “ To Allah we belong &amp; to him we shall return” in respect…",FALSE,0,NA,2019-03-19 11:11:49,FALSE,NA,"1107962878546436096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mahatisha123",13,TRUE,FALSE,NA,NA
"20","RT @MariamVeiszadeh: Dear @jacindaardern

Words are truly inadequate to convey our sincere gratitude for how you’ve handled the #Christchur…",FALSE,0,NA,2019-03-19 11:11:37,FALSE,NA,"1107962828315516928",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GraceLinsdell",247,TRUE,FALSE,NA,NA
"21","RT @siasatpk: <U+0648><U+0647> <U+0686><U+0627><U+06C1><U+062A><U+06D2> <U+06C1><U+06CC><U+06BA> <U+06A9><U+06C1> <U+0627><U+0644><U+0644><U+06C1> <U+06A9><U+06D2> <U+0646><U+0648><U+0631> <U+06A9><U+0648> <U+0627><U+067E><U+0646><U+06D2> <U+0645><U+0646><U+06C1> <U+0633><U+06D2> <U+0628><U+062C><U+06BE><U+0627> <U+062F><U+06CC><U+06BA> <U+0627><U+0648><U+0631> <U+0627><U+0644><U+0644><U+06C1> <U+0627><U+067E><U+0646><U+06D2> <U+0646><U+0648><U+0631> <U+06A9><U+0648> <U+06A9><U+0645><U+0627><U+0644> <U+062A><U+06A9> <U+067E><U+06C1><U+0646><U+0686><U+0627><U+0646><U+06D2> <U+0648><U+0627><U+FEFB> <U+06C1><U+06D2> ~ <U+0633><U+0648><U+0631><U+06C1> <U+0627><U+0644><U+0635><U+0641> : <U+0622><U+06CC><U+062A> 8

#NewZeal…",FALSE,0,NA,2019-03-19 11:11:22,FALSE,NA,"1107962764889391105",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asadmir143",65,TRUE,FALSE,NA,NA
"22","RT @MonaAlamm: Session of #NewZealand Parliament began with Tilawat-e-Quran and PM @jacindaardern began her speech with Assalam-o-Alaikum…",FALSE,0,NA,2019-03-19 11:11:14,FALSE,NA,"1107962728294031361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maryam97zee",46,TRUE,FALSE,NA,NA
"23","RT @SAMAATV: <U+06A9><U+0631><U+0627><U+0626><U+0633><U+0679> <U+0686><U+0631><U+0686> <U+0645><U+06CC><U+06BA> <U+062F><U+0648> <U+0645><U+0633><U+0627><U+062C><U+062F> <U+067E><U+0631> <U+0641><U+0627><U+0626><U+0631><U+0646><U+06AF> <U+0645><U+06CC><U+06BA> 9 <U+067E><U+0627><U+06A9><U+0633><U+062A><U+0627><U+0646><U+06CC><U+0648><U+06BA> <U+0633><U+0645><U+06CC><U+062A> 50 <U+0645><U+0633><U+0644><U+0645><U+0627><U+0646><U+0648><U+06BA> <U+06A9><U+06CC> <U+0634><U+06C1><U+0627><U+062F><U+062A> <U+06A9><U+06D2> <U+0628><U+0639><U+062F> <U+0646><U+06CC><U+0648><U+0632><U+06CC> <U+0644><U+06CC><U+0646><U+0688> <U+06A9><U+06CC> <U+067E><U+0627><U+0631><U+0644><U+06CC><U+0645><U+0646><U+0679> <U+06A9><U+06D2> <U+067E><U+06C1><U+0644><U+06D2> <U+0627><U+062C><U+0644><U+0627><U+0633> <U+06A9><U+0627> <U+0622><U+063A>…",FALSE,0,NA,2019-03-19 11:11:02,FALSE,NA,"1107962681145737216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mazim989",8,TRUE,FALSE,NA,NA
"24","RT @MariamVeiszadeh: Dear @jacindaardern

Words are truly inadequate to convey our sincere gratitude for how you’ve handled the #Christchur…",FALSE,0,NA,2019-03-19 11:11:02,FALSE,NA,"1107962678415224832",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SpeakTruth911",247,TRUE,FALSE,NA,NA
